index	sentence
1199	Our biggest fans this week : CharismaAlasta2 , Animae29751882 , ohalloran _ anne . Thank you ! via ource = twitter & utm _ medium = publishing & utm _ campaign = thank _ you _ tweet & utm _ content = text _ and _ media & utm _ term = c22703cc02f9ad09b378fab5   … $ 
1200	Still waiting for the $ WASSIE paradigm . Watch them digital avatars be worth like 999 . 999 $ WASSIE tokens . I ' ll hodl that $ 
1201	 Love you guys $ 
1202	Oh how I do love what next ! @ sf10ydy what do I need to do to participate at Launchpad ? Verified Binance Account , is that enough to go ? $ 
1203	Hodl # LINK @ chainlink ftw $ 
1204	KATAKURI FOR AUGUST ! RED ATTACKER $ 
1205	How do you see this playing out ? $ 
1206	And do not hodl on exchanges my dear cryptonians $ 
1207	Wait until someone in Congress says “ hodl ” # Bitcoin $ 
1208	Pomper stompers back at it again . $ 
1209	Gunna move to Canada , non Quebec , take my assets and bitcoin and be rich . $ 
1210	Well , I ' ma go watch some paint dry to liven things up a bit . # Crypto trading is on hodl while these people fake us \ * sideways \ * for a bit . $ 
1211	If $ xrp could reach 3 , 50 from . 006usd in a year , then $ erd $ elrond could do the same wich will be 6 times more value than xrp topped . We will be millionaires for sure ! $ 
1212	 $ 
1213	 Hodl my beer . HoboNickels is in town $ 
1214	Tired of losing when coins crash ? Then go short with Delta Exchange . 15 % lower fees with token provided ! - - > delta . exchange / referral ? code = KTJFIC & utm _ source = twb & utm _ medium = tweet & utm _ campaign = twb   … # cryptoexchange # bitcoins # bitcoinnews # blockchain # hodl # cryptotrader $ 
1215	なんかやりたい放題の化け物に育ちつつあるテザー us / 1151749253758275584   … $ 
1216	Me going to check out D’awwwwwwww $ 
1217	Hope I can follow @ YoYo76242706 $ 
1218	Gold is rising while cryptocurrencies are seeing red . What are you hodling ? Are you filling up your bags with gold or crypto ? # cryptocurrencynews # cryptonews # bitcoingold # cryptocurrencies # gold # bitcoinworld # cryptoinvesting # goldinvestment # hodl # hodlgang $ 
1219	I like the Prolegomena : Men who never think independently , nevertheless have the acuteness to discover everything , once it has been shown them , in what was said long since , though no one had ever been able to see it before . $ 
1220	POTUS level FUD ? Find an exchange to sell those coins here ! - altcash . co . uk / ? q = node / exchan ges   … # faucets # REP # HODL $ 
1221	You must have sold out , loose hands . . . # hodl $ 
1222	Right ? LOL $ 
1223	 @ PropyInc $ 
1224	HODL $ 
1225	 $ 
1226	HODL BNB ! $ 
1227	I like her very much , I ' m a conservative , I disagree with her 90 % of the time but I like her passion . I must say if I find out she lied about the toilet I ' ll loose respect for her and she is pretty much just like all the other politicians playing us , both side $ 
1228	You just want to bang meltem . $ 
1229	炎上するかもしれませんがあえて世のお父さんがたに言いたい 小遣い制の男は総じてマネーリテラシーが低い \| ALIS alis . to / liskhodler / art icles / 3LqE4vPZP9Vd   … $ 
1230	Sia $ 
1231	"According to Warren Buffett , # bitcoin is "" probably rat poison squared . "" Whether you # HODL for dear life or are new to cryptoassets , our explainer breaks down # blockchain tech in clear , jargon - free English zpr . io / gtkCN   $ "
1232	Thanks for looking that up i couldn ' t be arsed . . . . . . . lol $ 
1233	Get rid of all of them and bitcoin continues to work . $ 
1234	Hodl gold up to 1600 - 1700 I think ! It may even make a new high to mid 2ks range ( but could take a year . . . or two ) $ 
1235	Hahahahahaha niceeeeee he gonna block you for sure $ 
1236	年金が少ない人の老後の生活費はどうすればいい？ - ニュース・コラム - Y ! ファイナンス m . finance . yahoo . co . jp / news / detail / 20 190719 - 00018825 - argent - column   … $ 
1237	Excited to share this item from my # etsy shop : Sticker cryptocurrency Crypto Currency HODL To The Moon ! Vinyl Sticker Internet Meme Funny Ethereum Laptop Decal Litecoin xrp vechain vet etsy . me / 2Yll9Lv   $ 
1238	" "" Bitcoin best know digital currency "" LOL $ "
1239	 bizpayecrypto . io /   # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1151499430559981568   … $ 
1240	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C For information on the latest multi - transactional Exchange DOBI exchange on July 4 , please register at   $ 
1241	【De - Fi 系列】 —  HODL 以太幣還是能參與IEO — Maker DAO ift . tt / 2JGFzq9   De - Fi = Decentrailized Finance = 去中心化金融 Continue reading on Medium » $ 
1242	Congressmen are # stackingsats throughout this meeting # HODL $ 
1243	I FOMO during the sell offs instead of the pumps now . $ 
1244	Hodl Hodl и L2B Global формируют некастодиальный отдел внебиржевой торговли биткоином ( 19… goo . gl / fb / aWa3vY   $ 
1245	 @ NeuraLegion presents open source program with new article and interview from SushiChain founder . You can be participant too ! More info at : lockchain - security - in - open - source - projects - fefc236dd4a6   … # OpenSource # blockchain # programming # Security # CyberSecurity $ 
1246	لا ترى التفاصيل ، فأنت يحزنك الحريق ، أنا يؤلمني الخمود $ 
1247	Are you LEGO Batman ? $ 
1248	One does not simply TRADE $ link Don ' t be a noob , hodl that shizz $ 
1249	Overall he has my vote . I ' m specifically a Reaganite conservative and I am a minority from California . $ 
1250	 $ 
1251	Enjin MFT for sure for my life . CF MFT locked so anyway it is hodl . $ 
1252	Mining for 2 years now . Mostly $ ETC , $ ETH , $ BTC and $ CLO . Don’t let volatility trick you . . . as far as I know since it’s creation $ BTC and mostly good cryptocurrencies have just increased in value . . . # cryptocurrencies # HODL $ 
1253	Binance Added EOS and LINK Margin Trading Pairs eos - and - link - margin - tr   … … / # Blockchain # crypto # cryptocurrency # altcoin # btc # Bitcoin # ledger # safu # hodl # buidl # exchange # eth # ltc # xrp # eos # xlm # trx # bnb # ada # xmr $ 
1254	How did you tweet this picture two hours ago ? e / status / 1151969311415853056 ? s = 19   … $ 
1255	 # hodl don ' t stress yourself tatus / 1152098787147448320   … $ 
1256	Bitmex at it again ? $ 
1257	You are very blessed John . And the women you get to hang out with and talk crypto are Litecoin fam Hodl gang $ 
1258	Loved when BTC was 3100 in December . . . take me back to those prices so we can all accumulate more . $10 , 000 is still dumb cheap tho $ 
1259	58 % of Americans said that they had heard of Bitcoin . Read more at :   # cryptocurrencynews # trader # binance # forextrader # ltc # bitcoinvalue # cryptomining # technology # hodl # cryptolife # invest $ 
1260	HODL ! $ 
1261	Great job on the shirt change bro ! $ 
1262	100 % agree . It will still cost you lawyer fees / hours in court though . $ 
1263	Ohh sweet ! $ 
1264	Why is it that you must on HODL to be a serious crypto investor ? You shouldn ' t be slapped for making money . Dont be mad cause you haven ' t made any money dude $ 
1265	Bitcoin hodl club Total Members : 13 Total BTC in Club : 719 . 19698775 To join our club visit our site . bitcoinhodlclub . com   $ 
1266	When all the buyers who where buying in this run up all the way till 14k start panic selling at every 10 - 20 % dump . Most in this space dont understand HODL n have no idea about BTC . Even today most are in it to make money . They buy when going up n start panicking when dumping . $ 
1267	 @ Tronsupporter @ Ferdinand _ hodl @ rokoktexhijau $ 
1268	Never seen it bro $ 
1269	I spent 13 , 000$ on bitcoin and turned it into 37 , 000$ in two months . . . . . my goal is to hodl but it does get scary when your net worth is - or \ + 10k every other day makes you want to start taking advantage of those gains and losses . . . $ 
1270	Does HODL Work . Does it Deliver ! Purchase Price $3600 Sold $12G \ + # Bitcoin $ btc You can still sell at $9300 # Crypto # cryptotrading # cryptocurrency $ 
1271	 $ 
1272	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # Merchants # B2B bizpayecrypto . io /   / 1151438951397437440   … $ 
1273	$140 million is though s / 1151518540282978304 ? s = 19   … $ 
1274	Every # XRP HODL er watching Brad Garlinghouse on the mainstream media # cryptocurrency # xrparmy he does ya proud $ 
1275	Your reply should be - I ' M FUCKING BUYING - but of course you ' re stuck in a HODL and have no funds to trade with # XRP $ 
1276	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2Y9Y5z8   $ 
1277	Gotta admit that it’s discouraging to see other Alts pump . Litecoin , pumping 20 % for no damn reason , or any of the others for that matter . I’m still team XRP HODL but man it’s hard ! Let’s hope all this heartache pays off in the long run . # xrpthestandard # xrp $ 
1278	 @ DaveLevine0com $ 
1279	"to 20 , 000$ , I think , we can all agree , there would be an "" exchange - run "" ( eventho some will hodl ) . I dont think , that with the liquidity issues , we already are hearing about , that it will be possible for the exchanges to handle the requests in such a $ "
1280	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2YljyFu   $ 
1281	Cabe destacar que este servicio es pionero en el mundo de las criptomonedas y solo está disponible para clientes registrados en Coinbase . ow . ly / JUtC50v4v6z   $ 
1282	so satisfying $ 
1283	My advice : HODL $ 
1284	Oh man I forgot about the months and months of people telling me I was retarded for hodling through 18 lol fun times $ 
1285	BTC / USD TradingView # HODL $ 
1286	金持ち父さんはこの無価値で実態の無いお金を借りて不動産やビジネス買う話ですね。 日米政府はまさにこの無価値なお金を駆使してガンガン予算組んでます 凄い 我々にその錬金術を封じていますから リブラはダメなんですよ 民間企業にこの錬金術を渡すわけにはいかないのです $ 
1287	hodl silver $ 
1288	HODL $ 
1289	BIZpayCrypto tokens IEO is officially live at Dobi Exchange , hurry buy now before it sells out , the early you buy , the cheaper price you gonna have . More info : bizpayecrypto . io /   # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants $ 
1290	You couldn ' t handle your coin dumping and now forcing ppl to HODL . You ' re a smart man CZ , but quite evil too . $ 
1291	It ' s not your money so don ' t worry buddy - it ' s not my first time withdrawing but it ' s also not my first time being let down by crypto . com   either it ' s a disgrace of now days focusing on the us which they abandoned at one point $ 
1292	"Just say "" I don ' t know "" and call it a day . $ "
1293	He also has crazy ideas like universal that are inherently antithetical to any sane philosophy of liberty , sound money , and economic freedom . $ 
1294	それが長いパートナーとの生活で一番大事ですね。 $ 
1295	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2YVzYRR   $ 
1296	" @ binance has been "" staking "" SCH from holding Skycoin . Would love to see a distribution like XML . What do you say @ cz _ binance I will give you a nice coin hour bag to HODL if you distribute the Sky holding Binancians their $ SCH - Coin Hour bank - Listing on LBank soon status / 1151882726464729088   … $ "
1297	Are you asking me if I would have a problem bearing some sense into that person ? $ 
1298	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2LrsfYs   $ 
1299	lolol $ 
1300	Which is why I don’t see an issue with ( exchange or bank ) NOT running a validator . @ haydentiff is / was clearly frustrated about the issue , but I agree there is no , and should be no incentive . . . especially none from @ Ripple . Heck , I’ve thought about running one $ 
1301	Aloha ! Quiero pedirte que me hagas saber de cuáles temas quieres conocer más en lo que a Bitcoin respecta . Puedes votar en el chat de @ btcven o dejarme saber por esta vía ! @ randybrito @ cryptonomista @ criptodiana @ CriptoCarelin @ elenita _ tweets @ negrunch t . me / btcven / 72988   $ 
1302	 $ 
1303	Yes . . ride the wave . . hodl $ 
1304	 # BIZpaye # Merchants # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # B2B # B2C # retail bizpayecrypto . io /   / 1151407980904140800   … $ 
1305	This can easily turn into 70 - 80k in the next few Months . . . # HODL believe me . I own 6 , 000 myself & wont sell a single share . s / 1151950308257533952   … $ 
1306	いよいよ攻殻機動隊の世界が見えてきましたね！ また見たいかも。 電脳世界。 初期は不具合だらけでしょうからスマホみたいに5年はダメでしょうね。 $ 
1307	Ask : At least now tell , how much U # HODL $ 
1308	 / 2019 / 07 / 18 / bitcoin - slumps - what - now / # 2f23ab468e03   … $ 
1309	$ LINK Marines know ! That ' s why we HODL and take abuse from mindless goonies ! # chainlink / status / 1151515807349923841   … $ 
1310	is this real or to make fun ? btw with 90 % alts to - 90 % of their ' normal ' value in fact isn ' t so strange . example - AGI from 1600sats in just 1 month to 217sats . what to learn from this ALTS tragedy ? Don ' t HODL - fuck it ! As you make 1 - 2 sats just SALE all what you have . $ 
1311	Anyone have any working Ralph Lauren promo codes ? # ralphlauren $ 
1312	PRESS RELEASE : CHILIZ TO BE OFFICIAL CRYPTOCURRENCY PARTNER OF AS ROMA – Wall Street Hodl chiliz - to - be - official - cryptocurrency - partner - of - as - roma /   … $ 
1313	Cheese maxamilsit are cray . $ 
1314	何かに特化したヤツは怪しい。 ETH EOS LISKなど特化した目的でなくその素になるプロジェクトはそのうち使われると思います。 マイクリプトヒーローは普通に面白い。 まだガラケーアプリの段階でこれから成長間違い無いと思います。 だから LISKやで！ atus / 1151779051972939776   … $ 
1315	 # BTC sigue en caída libre . . pero mientras algunos se asustan , otros lo una buena oportunidad barato . . # Hodl # sorteojuliobitcobie coin - prolonga - perdida - con - baja - del - 12 - y - apunta - a - los - 8 - 000 - dolares /   … $ 
1316	This is great ! $ 
1317	Sometimes it pays to # HODL / status / 1152204741868494854   … $ 
1318	Ok enesai $ 
1319	Главные новости : Расследование в отношении BitMEX и хардфорк Zcash - 19 / cftc - nachala - rassledovanie - v - otnoshenii - bitmex /   … $ 
1320	Got some ! $ 
1321	 @ cz _ binance Hi CZ , I haven ' t seen any info on how U . S . customers can migrate coins from binance . com   to U . S . only site . I don ' t want to have to trade my 20 altcoins to BTC and trigger taxes , I want to HODL . Please post clear info on what to do . $ 
1322	 # HODL $ 
1323	Please stop adding those altcoins . If possible delist step by step . Focus on Bitcoin . Improve security if u feel need . Add lightning withdrawal and deposit like hodl hodl . Give users freedom to set manual withdrawal fees . Focus on user education . Bitcoin is a long long term game $ 
1324	Possibly a recession in September this year , I will be prepared myself , hodl some # XRP baby DYOR $ 
1325	なんか近い気がする ここ数日アップデートが非常に頻繁。 $ 
1326	Yeah , that ' s a given $ 
1327	Bulls make money Bears make money Pigs get slaughtered . Be smart with your asset trading . $ 
1328	Can all BNB holders just agree to ignore BTC drops ? $ 
1329	This ! Stop fighting the bots and no life swing traders and paid groups that lie to followers and just buy a bag of $ link and HODL . Check out the information in this gem . $ BTC $ Ltc $ xrp $ eth # cryptocurrency # libra $ trx $ qnt # chainlink tatus / 1151691579855212544   … $ 
1330	Get some cones and HODL babeeee ! Might not get many more chances . . . $ 
1331	Put me down for one . $ 
1332	I LIED IM AWAKE AND TANGHULU IS OUT HODL ON $ 
1333	I ' m 6ft and he ' s taller than me . $ 
1334	good luck with that $ 
1335	The BIZPAYE IEO on DOBI EXCHANGE ! IEO PRICING Week 1 = $0 . 15 Week 2 = $0 . 20 Listing Price = $0 . 25 Purchase your BIZpaye Tokens direct from DOBI ndingpage   … # BIZpaye # Merchants # Marketplace # HODL # BarterCredit # crypto # cryptotrading $ 
1336	5 years ago , 1 btc was $11 worth ? Eos existed 5 years ago ? False facts $ 
1337	長期投資するなら時価総額が低い優良アルトコインがいい？？ \| ALIS alis . to / liskhodler / art icles / 365GgYlEWgDZ   … $ 
1338	Are you a crypto currency trader ? You are to trade cloakcoin without # KYC at @ livecoin _ net CHECK IT OUT HUGE UPSIDE POTENTIAL # Privacy # BeYourOwnBank # HODL # buycloak # investInCloakcoin livecoin . net / en / trading / CLO AK _ BTC   … $ 
1339	Next time buy low sell high or better still buy and # HODL $ 
1340	weak AF FUD LOL $ 
1341	I ' ll bet you your entire hodl that my $ btc won ' t keep up with the rate of return of my $ rsr $ 
1342	More options for Canadians @ brian _ armstrong $ 
1343	Massive Whale Triggered Billion - Dollar Bitcoin Sell - Off , Says Crypto Trader # Bitcoin # BTC $ BTC # WhaleAlert sive - whale - triggered - billion - dollar - bitcoin - sell - off - says - crypto - trader /   … $ 
1344	Lmao . $ 
1345	私はやはり短期トレードはしない そんなせこいトレードより一山当てる方へいく。 細かなトレードより投資で10年に一度の大山当てた方が良い？？ \| ALIS alis . to / liskhodler / art icles / 3qQ6q6b9Rq5p   … $ 
1346	Hodl Hodl and L2B Global form new OTC desk - hodl - and - l2b - global - form - new - otc - desk - 69f287c9abcb   … $ 
1347	This is actually really bad advice . HODL away at your own peril $ 
1348	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , genesis block sweatshirt etsy . me / 2SnG8rz   $ 
1349	 # BIZpaye # Merchants # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # B2B # B2C # retail / 1150480209457700865   … $ 
1350	The only way i wouldn ' t consider it a cryptocurrency is if Libra isn ' t able to leave the Facebook ' s closed loop environment . $ 
1351	Shouldn ' t everyone be bids ? Like free market stuff . / 1151914839285096459   … $ 
1352	HODL strong buddy ! $ 
1353	They shall Only HODL Just like cavemens while # BitcoinCash users enjoy the technology . $ 
1354	Sir you humble me by mentioning me in the same breath as the great space cat himself . I am not worthy . $ 
1355	Erd for sure and some link $ 
1356	What’s this show mate ? $ 
1357	LMFAO . $ bsv . $116 The only people who buy it are the ones with $116 to spend and want to tell their friends they hodl 1 Bitcoin . Then their friends do 20 minutes of research back pointing their finger and laughing in these people ' s faces . $ 
1358	It’s official guys we have a new hero in # crypto . Introducing the smartest guy in the room @ PatrickMcHenry / status / 1151517063275581446   … $ 
1359	Oh wow . . . nice . . and I haven’t checked on my TEL since early 2018 lol I forget that bag exist which was probably a good thing # hodl $ 
1360	HODL to $2trillion market cap $ 
1361	Thanks for bringing this to my attention . Full linked in article here - shifts - ray - dalio   … $ 
1362	Because with alien tech we can vanquish our enemies I . e the politicians . Obviously . . . $ 
1363	amazing call ! ! ! $ 
1364	 # BIZpaye # Merchants # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # B2B # B2C # retail and  bizpayecrypto . io /   / 1152080654433017857   … $ 
1365	Time to blow it all up see who remains . . . $ 
1366	Wow I ' m soo shocked no one wanted their $ ETH / $ BTC bundled with shit ( $ ETC / $ LTC ) $ 
1367	No surprise here . China = Bitcoin Hodl # XRP ! ! Wonka Knows ! ! s / 1151944343999008768   … $ 
1368	ブロックされてて見れませぬ。 誰や？ $ 
1369	Congratz Sunny . Next stop 1 mio subscribers ! You deserve this so much . $ 
1370	I was going to say the same dang thing ! ! Kenny Freaking Rogers ! ! ! Brad be like , You got to know when to HODL them . . . . hahahahah $ 
1371	WAIT WIA THOLD OHN HODL ON m / status / 1151793737011474432   … $ 
1372	Eventually everyone gets it . ( including politicians ) # BitcoinMaxi n / status / 1151579641016020992   … $ 
1373	loooool $ 
1374	I prioritize my health and fitness more . I don’t do things strictly for money . I set more boundaries personally and professionally . I am generous with those around me . I’m more relaxed because I’m not worried about “making it” . I plan much farther into the future now . $ 
1375	The average Chef salary in London is £32 , 935 . This posistion offers 22k that’s approx 10k per year to live in London , that’s £833 per month to live in a palace in central London all while gaining valuable experience . That is a very good deal , I guess people can’t do the math $ 
1376	Keepkey is pretty fucking dope and easy to use on the new platform . @ cryptokeepkey @ ShapeShift _ io # HODL # stackingisahabit # digitalgold $ 
1377	Someone ask ari Paul how that mining death spiral along . I would but I’m blocked . $ 
1378	"$ CELZ fans need to check this out ! @ CaverStem ® is 100 % legit , don ' t quit ! HODL and watch the shorts take a hard "" fall "" 1151610866875293696   … $ "
1379	Based $ 
1380	I have more money BECAUSE I hodl btc , over 3 . 5 times of it more since December $ 
1381	It would have shown some smarts by congress to ask one of the core devs that been working on bitcoin for the last 9 years . That being said I don ' t think anyone has the right to represent Bitcoin . $ 
1382	42 wins . . 17 wins . . . . worry about yourselves . Got no right even talking about any team in the NBA at this point . Knicks dont have an ounce of culture or positive player development behind them . Crawl first , then try walking . Youre trying to sprint but cant even get off your feet $ 
1383	Every day it’s like I’m living in a movie . Congress is admitting on television that they can’t kill bitcoin and that they don’t want to . Yet , you pussies are scared of a buying opportunity ? Go cry in the corner like the lil bitch you are , cuz I’m stackin it over here pleighboi . status / 1151470299327733760   … $ 
1384	Sorry if I came off harsh but I see certain recurring themes with you and I would like very much for those to change $ 
1385	Ultimate HODL Play : Don ' t trade , don ' t worry about managing risk , just HODL , and strategically stop paying all debts . Don ' t declare bankruptcy , because then they ' ll want to liquidate your BTC , just , stop showing up . Bill me for the interest at 100k , free call . Uh , not advice . $ 
1386	 # lovetwitter # worldemojiday @ twitter # precursor # cryptotwitter # datestamped # timestamped # blockheight # nottimestamp # forwardblocks # timewarp # bitcoin @ sqcrypto # BTC # HODL # neverFinAdv namaste $ 
1387	If the @ Dodgers dont win it this year , my ass will further tear apart . Cannot the Los Angeles Baseball @ BuffaloBills @ GreenBaztard $ 
1388	Price go $176k soon soon . $ 
1389	As soon as CNBC starting screaming “ hodl on” the term died for me . Was so much better as an inside joke . $ 
1390	I love it . . , just bought loads of xrp ' s while its more affordable . . , and HODL . $ 
1391	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2YYPvQM   $ 
1392	HODL ON FRNAK KNOWS SPANISH ? $ 
1393	Crypto participation cycle : 1 . Hold shitcoins based on some youtube shiller ' s picks . 2 . Go in ICO’s based on Ian’s picks 3 . Make tons of money 4 . Get rekt 5 . Try to make up by going in tons of private sales . 6 . Get more rekt . 5 . Hopium on alt season . 6 . Hate on alts but hodl . $ 
1394	$ LTC target reached $ 
1395	Who ' s renting US foreign policy for cash ? Can you be more specific ? tatus / 1151677348162473984   … $ 
1396	The best way to avoid unnecessary emotions is to ignore every chart except the ‚monthly‘ and ‚yearly‘ . Hard not to be a permabull when looking at those . # hodl # stacksats # loadthedip $ 
1397	Most people alrewdy knew this . @ JoelKatz has answered this many of times . You need the liquidity for the banks to make the payments . $ 
1398	 @ Hodl _ Lambo $ 
1399	Nouriel Roubini is an asshat who only cares about his investments in the legacy system . . . . . I could care less what he says . $ 
1400	Imminent Major Rally for Bitcoin ! ?   via @ YouTube $ 
1401	We share the same dream my friend . $ 
1402	Perhaps you should read the article first instead . They are talking about how Interchain can protect peoples data , and that they have reached out to Libra to get access to the network . $ 
1403	河野外相「極めて無礼」韓国大使呼び強く抗議　徴用工仲裁委問題（毎日新聞） headlines . yahoo . co . jp / hl ? a = 20190719 - 00000030 - mai - int   … $ 
1404	Had to block him . Nobody talks shit about Junko . Nobody ! $ 
1405	Thats the problem . These Dutchies do not hodl their $ vet . They sell it for kroket $ 
1406	I am not sure how long $ BTC can HODL here crashing down below $9k . This is what I am looking at right now . $ ALTS will breakup & when it will blow off the top . If this doesn ' t happen within 2 weeks , expect a TOTAL # Altcoins meltdown ! # Altseason $ 
1407	What about fiat ? ? ? ? ? ? ? $ 
1408	This will not end well for them . . . greed kills . We are witnessing an over - exuberance playing out . Just wait until mass defaults on all that debt . Hodl ₿itcoin . $ 
1409	Website : bizpayecrypto . io /   # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1151499430559981568   … $ 
1410	Vdd . Estou vendo filas de ônibus com turistas para ver essa obra . Gera mais mídia os videos das piscinas transbordando com o balanço da torre do q propriamente o prédio ( aconteceu com um desses na mesma cidade ) . $ 
1411	That thing that I didn’t HODL last year $ 
1412	LOL maybe the biggest RHR ever and Marty shows up drunk . I love it . Never change bitcoiners . $ 
1413	$ BTC last night could have been the intermediate term low . I am watching $9875 as Resistance ( R ) . I am waiting on a LT buy signal and we got close but didn ' t have one , yet . I am patient person . We will see . I dont like Dominance up and Price down = makes no sense not advice $ 
1414	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 32vMWrB   $ 
1415	HODL Bitcoin ! $ 
1416	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1150700294566817792   … $ 
1417	KEEP CALM AND HODL p2QWM   … $ 
1418	 @ 1thousandx _ / status / 1151626221215789056   … $ 
1419	 @ HoneyXrp us / 1152227698506424326   … $ 
1420	 # Bitcoin is a master of patience , greed and wisdom . # HODL & # Forget & # Gateway . You will begin discovering your worth . # LightningNetwork $ 
1421	Some poor souls bought $14k $ BTC then sold at $9k . Never panic buy . Never panic sell . HODL is not just a meme during a bull market . It’s the safest and often the most profitable option . Don’t give your sats away unnecessarily . $ 
1422	Your statement is falsified via examples of individuals such as @ bob _ way who despite de - risking their holdings , still hold a healthy amount of XRP . Let ' s be real @ SKz _ gg I ' m HODLing bags based upon just what ' s public knowledge . Employees know more . So bet they ' ll HODL stronger . $ 
1423	Hey look , another Knick fan who cant take the facts $ 
1424	hodl 4 the party , broooo $ 
1425	No I work outside of bitcoin $ 
1426	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2SncfYm   $ 
1427	I got some bnb at $33 \ + . During the hearing when the price was going down , i said to myself , I ain ' t selling . Ama hodl it $ 
1428	Not the Repubs , you see Duffy up there flashing the $20 bill $ 
1429	You were saying . . . $ 
1430	"Scary video "" The US can always print more money . "" zZvhI   … # xrp # Ripple $ XRP # xrptherstandard @ XRPTrump @ CKJCryptonews @ BakkupBradley @ annaliz _ george @ Ali _ G _ Ali _ @ haydentiff @ Hodor @ jungleincxrp @ val5linx @ BirdDog1227 @ sentosumosaba $ "
1431	Exactly . . . # hodl & atus / 1151924127898505221   … $ 
1432	Someone please convince me why they would continue to hodl $ XRP ! ! ! ! ! ! ! ! ! iSTILL DON’T GET IT ! ! ! ! ! # Bitcoin $ Btc # litecoin $ ltc # Ethereum $ eth # ripple # digibyte $ dgb # origintrail $ trac # chainlink $ link / status / 1151716000284282880   … $ 
1433	 @ elonmusk can you add an option to upgrade a DM long range AWD to performance ? $ 
1434	HUIDKANKER DOOR JE MOBIELE TELEFOON Waarom is het aantal gevallen van huidkanker zo explosief gestegen in Nederland ? We hebben de mogelijke oorzaak gevonden . Zie • dringdiepte \ + huid   … • ~ $ 
1435	2075 be like . . . HODL is still the name of the game $ XRP . Picture taken in Planet Mars , we passed the moon # XRP $ 
1436	Work hard educate marry same species $ 
1437	"It means , say , I short ( bet asset to fall ) at $10 , 000 and it falls to say $9500 and I am making $500 points per share but then the now , I want to take the profit - I "" cover "" ( aka short covering ) Net net . . you just reversing ur short with a buy order to cover . . . . not real buying $ "
1438	This city council has just declared war on the United States of America . They are traitors and enemies of this country . They need to be removed from office immediately and put on trial for their treasonous behavior . $ 
1439	50 . No . 1プラットホームのイーサリアムが実現していない POSを難なく稼働している。 $ 
1440	glad I could help ! I didnt expect this . . . . super fast like this . BUT . . . . I have a process and it works . Go over to hodlreport . com   and check out what I been writing since end of June . 15 days free . Nailed the call down too ! $ 
1441	"That GIF represents the HODL "" please position will you go my way "" ( Lenny Kravitz wrote it first though ) . $ "
1442	You should change ur name to Dan Hodl and hodl some bitcoin $ 
1443	Hodl y dolar cost average for the win . O tener un plan de trading muy preparado para el btc porque es otro a los mercados tradicionales jajajajajajaj $ 
1444	AVXChange’s Stance on Intellectual Property and Copyright Law avxchange . io / avxchanges - sta nce - on - intellectual - property - and - copyright - law   … @ avxchange # avxchange $ 
1445	Was he pissed over losing a bet ? $ 
1446	I would congratulate her . If she managed to hodl from 2013 until now without losing her keys , or scammed or paniqued or hacked , she deserves enjoying the kitchen ! $ 
1447	Agreed $ 
1448	If you say so Udi . $ 
1449	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1152080654433017857   … $ 
1450	Hmm $ 
1451	The hostess mentioned it to me because she saw the sticker on my phone $ 
1452	Got my offer accepted on this yesterday . . . will hodl for a few years and then build my This feels like the country but is right in town $ 
